QuestID,Type,RoomTarget,Priority,Require,Gem Reward,Cash Reward
1,Upgrade_SmallTable_Table,Table1,1,10,0,1000
2,Upgrade_SmallTable_Chair,Table1,1,10,0,1000
3,Upgrade_SmallTable_Plates,Table1,1,10,0,1000
4,Upgrade_SmallTable_Decor,Table1,1,10,0,1000
5,Upgrade_SmallTable_Table,Table2,2,10,0,1000
6,Upgrade_SmallTable_Chair,Table2,2,10,0,1000
7,Upgrade_SmallTable_Plates,Table2,2,10,0,1000
8,Upgrade_SmallTable_Decor,Table2,2,10,0,1000
9,Upgrade_Kitchen_StoveOven,Kitchen,2,10,0,1000
10,Upgrade_Restroom_MaleStall,Restroom,3,10,0,1000
11,Upgrade_Restroom_FemaleStall,Restroom,3,10,0,1000
12,Upgrade_Restroom_MaleSink,Restroom,3,10,0,1000
13,Upgrade_Restroom_FemaleSink,Restroom,3,10,0,1000
14,Upgrade_SmallTable_Table,Table2,8,25,0,1000
15,Upgrade_SmallTable_Chair,Table2,8,25,0,1000
16,Upgrade_SmallTable_Plates,Table2,8,25,0,1000
17,Upgrade_SmallTable_Decor,Table2,8,25,0,1000
18,Upgrade_BigTable_Table,BigTable2,9,10,0,1000
19,Upgrade_BigTable_Chair,BigTable2,9,10,0,1000
20,Upgrade_BigTable_Plates,BigTable2,9,10,0,1000
21,Upgrade_BigTable_Decor,BigTable2,9,10,0,1000
22,Upgrade_Kitchen_StoveOven,Kitchen,8,25,0,1000
23,Upgrade_Restroom_MaleStall,Restroom,8,25,0,1000
24,Upgrade_Restroom_FemaleStall,Restroom,8,25,0,1000
25,Upgrade_Restroom_MaleSink,Restroom,8,25,0,1000
26,Upgrade_Restroom_FemaleSink,Restroom,8,25,0,1000
27,Upgrade_Deliver_StaffTable,DeliverRoom,9,10,0,1000
28,Upgrade_Deliver_BakeryGlass,DeliverRoom,9,10,0,1000
29,Upgrade_Deliver_Fridge,DeliverRoom,9,10,0,1000
30,Upgrade_Deliver_Decor,DeliverRoom,9,10,0,1000
31,Upgrade_SmallTable_Table,Table2,11,50,0,1000
32,Upgrade_SmallTable_Chair,Table2,11,50,0,1000
33,Upgrade_SmallTable_Plates,Table2,11,50,0,1000
34,Upgrade_SmallTable_Decor,Table2,11,50,0,1000
35,Upgrade_BigTable_Table,BigTable3,14,25,0,1000
36,Upgrade_BigTable_Chair,BigTable3,14,25,0,1000
37,Upgrade_BigTable_Plates,BigTable3,14,25,0,1000
38,Upgrade_BigTable_Decor,BigTable3,14,25,0,1000
39,Upgrade_Kitchen_StoveOven,Kitchen,12,50,0,1000
40,Upgrade_Restroom_MaleStall,Restroom,12,50,0,1000
41,Upgrade_Restroom_FemaleStall,Restroom,12,50,0,1000
